id,nama,tipe_kode,tipe_label,lat,lon
aplicares_1187,RUMKITBAN SIDOARJO,R,Rumah Sakit,-7.44705,112.716
aplicares_1188,RSU AL-Islam HM Mawardi,R,Rumah Sakit,-7.41695,112.583
aplicares_1189,RS Citra Medika,R,Rumah Sakit,-7.433166806624985,112.46361376190185
aplicares_1190,RSI Siti Hajar,R,Rumah Sakit,-7.45776,112.722
aplicares_1191,RS MITRA KELUARGA WARU,R,Rumah Sakit,-7.36285,112.729
aplicares_1192,RS Delta Surya,R,Rumah Sakit,-7.44691,112.702
aplicares_1193,RS AISYIYAH SITI FATIMAH,R,Rumah Sakit,-7.48567,112.653
aplicares_1194,RSU BUNDA SIDOARJO,R,Rumah Sakit,-7.3516991091833805,112.7707639656067
aplicares_1195,RSIA MITRA HUSADA (NON),R,Rumah Sakit,-7.401034,112.726912
aplicares_1196,RSU MITRA SEHAT MANDIRI,R,Rumah Sakit,-7.43198,112.574
aplicares_1197,RSU JASEM,R,Rumah Sakit,-7.45934,112.722
aplicares_1198,RSIA PONDOK TJANDRA,R,Rumah Sakit,-7.34524,112.779
aplicares_1199,RSI AMINAH SIDOARJO,R,Rumah Sakit,-7.44034,112.57333259392
aplicares_1200,RS RAHMAN RAHIM,R,Rumah Sakit,-7.42057,112.672
aplicares_1201,RS ARAFAH ANWAR MEDIKA,R,Rumah Sakit,-7.39418,112.673
aplicares_1202,RSU PRIMA HUSADA,R,Rumah Sakit,-7.35261,112.766
aplicares_1203,RS PUSURA CANDI,R,Rumah Sakit,-7.486453385041041,112.71254938888549
aplicares_1204,RS SHEILA MEDIKA,R,Rumah Sakit,-7.37315,112.76
aplicares_1205,RSUD SIDOARJO BARAT,R,Rumah Sakit,-7.40676,112.585
aplicares_1206,RSIA SOERYA,R,Rumah Sakit,-7.35216,112.692
aplicares_1207,RS ASSAKINAH MEDIKA,R,Rumah Sakit,-7.4144,112.674
aplicares_1208,KLINIK MEDIS GELORA,B,Klinik,-7.44964,112.704
aplicares_1209,dr. H. Don Sofyan,U,Praktik Dokter,-7.44766824402588,112.71493046915528
aplicares_1210,dr. Sucipto,U,Praktik Dokter,-7.39208,112.761
aplicares_1211,Klinik As Shafa,B,Klinik,-7.35474,112.726
aplicares_1212,dr. Abdillah Segaf Alhadad,U,Praktik Dokter,-7.3623,112.721
aplicares_1213,dr. Loeki Rahayu Hiendraningsi,U,Praktik Dokter,-7.35024,112.689
aplicares_1214,dr. Sugeng Mualif,U,Praktik Dokter,-7.4091909187692,112.67129236078
aplicares_1215,dr. Maulana M Fathir,U,Praktik Dokter,-7.41261,112.58
aplicares_1216,Klinik Medis Harmoni,B,Klinik,-7.5027,112.703
aplicares_1217,dr. Esty Handayani,U,Praktik Dokter,-7.47762,112.714
aplicares_1218,KLINIK AS SYIFA,B,Klinik,-7.53917,112.685
aplicares_1219,DR.ADHIEN SUBIJANTO,U,Praktik Dokter,-7.5507513799213335,112.74250505652954
aplicares_1220,KLINIK RAHMAN RAHIM II,B,Klinik,-7.37206,112.646
aplicares_1221,KLINIK CITRA MEDIKA,B,Klinik,-7.43717,112.621
aplicares_1222,KLINIK NURANI,B,Klinik,-7.41347,112.674
aplicares_1223,"MOCH. ARIF SOLACHUDIN, dr",U,Praktik Dokter,-7.44943,112.727
aplicares_1224,KLINIK ALITA MEDIKA,B,Klinik,-7.4141,112.542
aplicares_1225,KLINIK HUTAMA PHARMA,B,Klinik,-7.45327,112.718
aplicares_1226,DR. MOCHAMAD ARIEF F PG. CANDI,U,Praktik Dokter,-7.47741,112.715
aplicares_1227,dr. Hendra Kurniawan Putra,U,Praktik Dokter,-7.462499999999994,112.54976396560669
aplicares_1228,dr.  Zaiful Amri Santoso,U,Praktik Dokter,-7.44484,112.673
aplicares_1229,DR. EKO ADI SAPUTRO,U,Praktik Dokter,-7.53256,112.647
aplicares_1230,DR. ARIF WIDODO,U,Praktik Dokter,-7.459145372688057,112.71118775463106
aplicares_1231,DR. FIANA CHIDMI AULIA,U,Praktik Dokter,-7.41265,112.58
aplicares_1232,DR. ANDRE YULIUS,U,Praktik Dokter,-7.387288297926844,112.68390632927418
aplicares_1233,DR. REGA IMANTRA,U,Praktik Dokter,-7.45542,112.526
aplicares_1234,DR. SANTY DWI ANANINGSIH,U,Praktik Dokter,-7.4204,112.672
aplicares_1235,DR. MACHMUJUR,U,Praktik Dokter,-7.48201,112.716
aplicares_1236,DR. FITRIATIN NISAI,U,Praktik Dokter,-7.45716,112.713
aplicares_1237,DR. AYU RACHMASARI,U,Praktik Dokter,-7.4136,112.673
aplicares_1238,DR. YUNI FATMAWATI,U,Praktik Dokter,-7.37163,112.664
aplicares_1239,DR. NURUL HIDAYATI,U,Praktik Dokter,-7.41965,112.728
aplicares_1240,DR. RM SYAUQI ANNURI SAM K P,U,Praktik Dokter,-7.34679,112.777
aplicares_1241,DR. WIDA PARAMA ASTITI,U,Praktik Dokter,-7.46096,112.517
