id,nama,tipe_kode,tipe_label,lat,lon,wkt_point,punya_isochrone
aplicares_4002,PUSKESMAS KADEMANGAN,0,Puskesmas (kode 0),-7.917376767031992,113.83231113624574,POINT(113.83231113624574 -7.917376767031992),False
aplicares_4003,PUSKESMAS TENGGARANG,0,Puskesmas (kode 0),-7.9094780632329,113.85155521727,POINT(113.85155521727 -7.9094780632329),False
aplicares_4004,PUSKESMAS TEGALAMPEL,0,Puskesmas (kode 0),-7.90198,113.826,POINT(113.826 -7.90198),False
aplicares_4005,PUSKESMAS TAMAN KROCOK,0,Puskesmas (kode 0),-7.876933218469836,113.88173847770692,POINT(113.88173847770692 -7.876933218469836),False
aplicares_4006,PUSKESMAS WRINGIN,0,Puskesmas (kode 0),-7.8267436147918374,113.76047743320467,POINT(113.76047743320467 -7.8267436147918374),False
aplicares_4007,PUSKESMAS CURAHDAMI,0,Puskesmas (kode 0),-7.913033835048753,113.79210192394255,POINT(113.79210192394255 -7.913033835048753),False
aplicares_4008,PUSKESMAS BINAKAL,0,Puskesmas (kode 0),-7.89823052415689,113.76829571354388,POINT(113.76829571354388 -7.89823052415689),False
aplicares_4009,PUSKESMAS GRUJUGAN,0,Puskesmas (kode 0),-7.97624984390865,113.79711533498767,POINT(113.79711533498767 -7.97624984390865),False
aplicares_4010,PUSKESMAS MAESAN,0,Puskesmas (kode 0),-8.03225,113.776,POINT(113.776 -8.03225),False
aplicares_4011,PUSKESMAS TAMANAN,0,Puskesmas (kode 0),-8.01910450604157,113.8219002435207,POINT(113.8219002435207 -8.01910450604157),False
aplicares_4012,PUSKESMAS JAMBESARI,0,Puskesmas (kode 0),-7.979158495751191,113.84077247619626,POINT(113.84077247619626 -7.979158495751191),False
aplicares_4013,PUSKESMAS PUJER,0,Puskesmas (kode 0),-7.977630470243272,113.8944005262852,POINT(113.8944005262852 -7.977630470243272),False
aplicares_4014,PUSKESMAS TLOGOSARI,1,Puskesmas (kode 1),-7.98659,113.919,POINT(113.919 -7.98659),True
aplicares_4015,PUSKESMAS WONOSARI,1,Puskesmas (kode 1),-7.883498186985836,113.89812559986116,POINT(113.89812559986116 -7.883498186985836),True
aplicares_4016,PUSKESMAS TAPEN,1,Puskesmas (kode 1),-7.856031206036688,113.93170273876191,POINT(113.93170273876191 -7.856031206036688),True
