jenis,nama,lat,lon,status_verifikasi,jarak_pencocokan_m
puskesmas,DAU,-7.91312,112.58409,terverifikasi_2_sumber,163.0
puskesmas,CURAHDAMI,-7.913086,113.792114,terverifikasi_2_sumber,6.0
puskesmas,TENGGARANG,-7.909119,113.852295,terverifikasi_2_sumber,90.7
puskesmas,SOOKO,-7.908691,111.642517,hanya_scrape_perlu_verifikasi,
puskesmas,KOTAKULON,-7.90741,113.812927,terverifikasi_2_sumber,30.0
puskesmas,JAMBON,-7.907104,111.368896,hanya_scrape_perlu_verifikasi,
puskesmas,JUNREJO,-7.907104,112.56488,hanya_scrape_perlu_verifikasi,
puskesmas,MOJO,-7.903076,111.960876,hanya_scrape_perlu_verifikasi,
puskesmas,TEGALAMPEL,-7.901794,113.825684,terverifikasi_2_sumber,40.5
puskesmas,BINAKAL,-7.898682,113.768311,terverifikasi_2_sumber,50.2
puskesmas,SINGOSARI,-7.898193,112.663696,terverifikasi_2_sumber,55.1
puskesmas,NONGKOJAJAR,-7.895996,112.821716,terverifikasi_2_sumber,114.0
puskesmas,KARANGPLOSO,-7.89505,112.59358,terverifikasi_2_sumber,28.7
puskesmas,TAMAN KROCOK,-7.893799,113.868286,hanya_scrape_perlu_verifikasi,
puskesmas,KURIPAN,-7.892212,113.148499,hanya_scrape_perlu_verifikasi,
puskesmas,BEJI,-7.890991,112.542908,terverifikasi_2_sumber,321.5
puskesmas,NGRANDU,-7.89032,111.408081,hanya_scrape_perlu_verifikasi,
puskesmas,SIMAN,-7.885681,111.499878,hanya_scrape_perlu_verifikasi,
puskesmas,WONOSARI,-7.883423,113.898315,terverifikasi_2_sumber,22.5
puskesmas,TAMANAN,-7.874512,113.882874,terverifikasi_2_sumber,296.9
puskesmas,TEGALSIWALAN,-7.874207,113.25293,terverifikasi_2_sumber,232.7
puskesmas,NGADILUWIH,-7.873779,112.000122,hanya_scrape_perlu_verifikasi,
puskesmas,BADEGAN,-7.873108,111.331482,hanya_scrape_perlu_verifikasi,
puskesmas,ARDIMULYO,-7.87303,112.67868,terverifikasi_2_sumber,28.7
puskesmas,PULUNG,-7.872986,111.660095,hanya_scrape_perlu_verifikasi,
puskesmas,PONOROGO SELATAN,-7.872681,111.478271,terverifikasi_2_sumber,137.9
puskesmas,SIDOMULYO,-7.872192,112.083679,hanya_scrape_perlu_verifikasi,
puskesmas,BLABAK,-7.871582,112.029114,hanya_scrape_perlu_verifikasi,
puskesmas,BATU PUTIH,-7.871155,112.513794,terverifikasi_2_sumber,26.6
puskesmas,BATU,-7.871155,112.513794,hanya_scrape_perlu_verifikasi,
puskesmas,NGLETIH,-7.870728,112.059082,hanya_scrape_perlu_verifikasi,
puskesmas,RONOWIJAYAN,-7.870178,111.508484,hanya_scrape_perlu_verifikasi,
